Date,Open,High,Low,Close,Adj Close,Volume
2020-02-25,27.549999,27.549999,26.639999,26.650000,26.040972,22600
2020-02-26,26.690001,26.879999,26.400000,26.400000,25.796686,41200
2020-02-27,26.110001,26.110001,24.930000,24.930000,24.360279,49200
2020-02-28,24.340000,24.559999,23.760000,24.309999,23.754446,147200
2020-03-02,24.350000,25.280001,24.250000,25.280001,24.702282,61600
2020-03-03,25.270000,25.730000,25.049999,25.190001,24.614338,23500
2020-03-04,25.280001,26.100000,25.280001,26.090000,25.493771,123500
2020-03-05,25.700001,25.830000,25.250000,25.469999,24.887938,38500
2020-03-06,24.980000,25.110001,24.350000,25.110001,24.536167,34000
2020-03-09,22.969999,23.930000,22.010000,23.090000,22.562328,85300
2020-03-10,23.719999,24.030001,22.740000,24.030001,23.480846,138400
2020-03-11,23.250000,23.250000,22.360001,22.459999,21.946726,86700
2020-03-12,21.000000,21.670000,19.270000,20.250000,19.787230,67600
2020-03-13,21.030001,21.879999,20.000000,21.820000,21.321352,189500
2020-03-16,19.600000,19.620001,17.670000,17.790001,17.383450,30600
2020-03-17,18.080000,18.790001,17.440001,18.760000,18.331282,71000
2020-03-18,17.100000,17.990000,16.000000,16.670000,16.289045,116300
2020-03-19,16.570000,17.299999,16.100000,16.980000,16.591959,83400
2020-03-20,17.139999,17.709999,16.080000,16.180000,15.810242,100600
2020-03-23,16.120001,16.120001,15.180000,15.540000,15.184867,206200
2020-03-24,16.440001,17.010000,16.240000,17.010000,16.621273,61500
2020-03-25,17.240000,18.850000,16.879999,17.850000,17.442078,104400
2020-03-26,17.820000,18.910000,17.790001,18.830000,18.566101,34200
2020-03-27,18.420000,19.500000,18.049999,19.120001,18.852037,88900
2020-03-30,19.139999,19.280001,18.490000,19.280001,19.009794,42600
2020-03-31,19.200001,19.209999,18.420000,18.930000,18.664700,35700
2020-04-01,17.959999,18.030001,17.139999,17.490000,17.244881,45800
2020-04-02,17.400000,17.730000,17.020000,17.389999,17.146282,39600
2020-04-03,17.260000,17.400000,16.850000,17.129999,16.889925,35000
2020-04-06,17.730000,18.580000,17.730000,18.459999,18.201284,91400
2020-04-07,19.320000,19.590000,18.750000,18.750000,18.487223,70700
2020-04-08,19.090000,20.040001,18.900000,19.950001,19.670404,37400
2020-04-09,20.340000,21.360001,20.340000,21.100000,20.804287,24100
2020-04-13,20.950001,20.950001,20.139999,20.190001,19.907042,101800
2020-04-14,20.639999,20.980000,20.639999,20.799999,20.508490,106100
2020-04-15,20.150000,20.150000,19.700001,19.870001,19.591526,25300
2020-04-16,19.879999,19.930000,19.440001,19.570000,19.295729,31900
2020-04-17,19.990000,20.370001,19.950001,20.190001,19.907042,35400
2020-04-20,19.770000,19.870001,19.360001,19.360001,19.088673,35000
2020-04-21,18.799999,19.200001,18.760000,19.160000,18.891476,90400
2020-04-22,19.360001,19.459999,19.190001,19.280001,19.009794,281100
2020-04-23,19.250000,19.469999,19.090000,19.100000,18.832317,39000
2020-04-24,19.150000,19.370001,18.920000,19.260000,18.990074,113600
2020-04-27,19.350000,20.080000,19.350000,19.920000,19.640825,28900
2020-04-28,20.400000,20.750000,20.240000,20.280001,19.995779,31700
2020-04-29,20.650000,21.049999,20.510000,20.760000,20.469051,39900
2020-04-30,20.480000,20.510000,20.150000,20.510000,20.222555,38000
2020-05-01,19.850000,19.879999,19.520000,19.700001,19.423908,34500
2020-05-04,19.459999,19.590000,19.230000,19.540001,19.266151,31000
2020-05-05,19.770000,20.020000,19.629999,19.660000,19.384468,21700
2020-05-06,19.660000,19.690001,19.330000,19.330000,19.059093,14200
2020-05-07,19.500000,19.840000,19.500000,19.620001,19.345030,25400
2020-05-08,19.900000,20.120001,19.889999,20.110001,19.828161,87900
2020-05-11,19.690001,20.020000,19.670000,19.719999,19.443626,14700
2020-05-12,19.750000,19.750000,18.740000,18.740000,18.477362,36400
2020-05-13,18.559999,18.559999,18.180000,18.250000,17.994228,33000
2020-05-14,17.889999,18.320000,17.530001,18.320000,18.063248,38100
2020-05-15,18.070000,18.260000,17.900000,18.260000,18.004089,20100
2020-05-18,18.950001,19.590000,18.950001,19.459999,19.187271,24000
2020-05-19,19.370001,19.530001,19.170000,19.260000,18.990074,83400
2020-05-20,19.459999,19.459999,19.280001,19.420000,19.147831,8900
2020-05-21,19.309999,19.600000,19.309999,19.459999,19.187271,10900
2020-05-22,19.410000,19.610001,19.389999,19.580000,19.305590,34400
2020-05-26,20.219999,20.459999,20.219999,20.389999,20.104237,9200
2020-05-27,20.830000,20.930000,20.350000,20.740000,20.449331,19200
2020-05-28,20.840000,20.889999,20.580000,20.750000,20.459192,27500
2020-05-29,20.580000,20.730000,20.360001,20.450001,20.163397,16700
2020-06-01,20.430000,21.129999,20.320000,20.990000,20.695827,23700
2020-06-02,21.180000,21.230000,21.059999,21.200001,20.902885,17400
2020-06-03,21.389999,22.059999,21.389999,21.959999,21.652233,30100
2020-06-04,22.020000,22.020000,21.639999,21.840000,21.533916,95600
2020-06-05,23.129999,23.129999,22.700001,22.760000,22.441023,25300
2020-06-08,23.160000,23.389999,23.120001,23.389999,23.062191,20200
2020-06-09,22.940001,23.030001,22.719999,22.930000,22.608639,11400
2020-06-10,22.850000,22.850000,22.120001,22.240000,21.928310,60700
2020-06-11,21.180000,21.459999,20.780001,20.850000,20.557791,216000
2020-06-12,21.450001,21.639999,21.010000,21.629999,21.326859,97000
2020-06-15,20.920000,22.030001,20.920000,21.870001,21.563496,70400
2020-06-16,22.650000,22.690001,22.080000,22.379999,22.066347,35100
2020-06-17,22.500000,22.500000,22.010000,22.020000,21.711393,18300
2020-06-18,21.790001,21.900000,21.730000,21.840000,21.533916,7400
2020-06-19,21.799999,21.799999,21.219999,21.230000,20.932465,7000
2020-06-22,21.209999,21.290001,21.110001,21.280001,20.981764,14100
2020-06-23,21.549999,21.549999,21.070000,21.200001,20.902885,7000
2020-06-24,20.889999,20.920000,20.139999,20.639999,20.350733,44900
2020-06-25,20.440001,20.709999,20.340000,20.709999,20.599398,16100
2020-06-26,20.620001,20.700001,20.299999,20.340000,20.231375,108400
2020-06-29,20.530001,20.780001,20.299999,20.680000,20.569559,12500
2020-06-30,20.790001,21.020000,20.719999,20.930000,20.818224,69700
2020-07-01,21.200001,21.540001,21.170000,21.420000,21.305607,94400
2020-07-02,21.740000,21.740000,21.260000,21.350000,21.235981,19700
2020-07-06,21.709999,21.709999,21.240000,21.240000,21.126568,19400
2020-07-07,21.059999,21.059999,20.740000,20.740000,20.629238,41100
2020-07-08,20.700001,20.879999,20.610001,20.719999,20.609344,19400
2020-07-09,20.719999,20.719999,20.260000,20.549999,20.440252,18700
